snapshot,graph,nodes,edges,density,avg_degree,max_degree,wcc_count,largest_wcc_size,scc_count,largest_scc_size,diameter,avg_shortest_path
MenuCal_backup_20251225,FullGraph,197,491,0.012716254014296074,4.9847715736040605,119,20,178,191,3,7,2.5175522122770264
MenuCal_backup_20251226,FullGraph,213,546,0.012091416423066702,5.126760563380282,128,15,199,209,3,7,2.6309831988223946
MenuCal_backup_20251227,FullGraph,276,726,0.009565217391304347,5.260869565217392,164,19,258,273,2,7,2.618375410973366
MenuCal_backup_20251228,FullGraph,278,728,0.00945380879411994,5.237410071942446,165,19,260,275,2,7,2.6233145233145234
MenuCal_backup_20251229,FullGraph,295,772,0.008901187593681541,5.233898305084746,174,20,276,292,2,7,2.625032938076416
MenuCal_backup_20251230,FullGraph,304,818,0.008880493312489144,5.381578947368421,178,20,285,301,2,7,2.639510748702743
MenuCal_backup_20251231,FullGraph,319,872,0.008596045030657912,5.467084639498433,186,23,296,316,2,7,2.623270728355474
MenuCal_backup_20260101,FullGraph,333,892,0.00806830927312855,5.357357357357357,190,23,310,331,2,7,2.693433552562898
MenuCal_backup_20260102,FullGraph,348,940,0.007784292291894398,5.402298850574713,199,24,324,345,2,7,2.6884722699996177
MenuCal_backup_20260103,FullGraph,365,991,0.007458979376787596,5.4301369863013695,211,26,338,362,2,7,2.6722736291327935
MenuCal_backup_20260104,FullGraph,382,1078,0.007406796663506067,5.643979057591623,221,27,354,379,2,6,2.641282950016805
MenuCal_backup_20260105,FullGraph,420,1151,0.006540515967723605,5.480952380952381,234,32,387,417,2,7,2.7048506513502297
