snapshot,distribution_shift,turnover,membership_shift,sensitivity
MenuCal_backup_20251226,0.24696350905015044,1,0.2068965517241379,0.48462002025809614
MenuCal_backup_20251227,0.10889884633320512,1,0.30097087378640774,0.4699565733732043
MenuCal_backup_20251228,0.03063603449207658,0,0.15094339622641506,0.06052647690616388
MenuCal_backup_20251229,0.08770083323556967,1,0.18918918918918914,0.4256300074749196
MenuCal_backup_20251230,0.05169397142824552,0,0.06930693069306926,0.040333634040438264
MenuCal_backup_20251231,0.12537323472040685,1,0.05660377358490565,0.3939923361017708
MenuCal_backup_20260101,0.09494317893561978,1,0.15966386554621848,0.41820234816061275
MenuCal_backup_20260102,0.07037360716626614,1,0.050420168067226934,0.373597925077831
MenuCal_backup_20260103,0.11767370770702537,1,0.04800000000000004,0.38855790256900846
MenuCal_backup_20260104,0.07942845756934007,0,0.05343511450381677,0.04428785735771895
MenuCal_backup_20260105,0.08368464930239886,0,0.08633093525179858,0.05667186151806581
