snapshot,graph,nodes,edges,density,avg_degree,max_degree,wcc_count,largest_wcc_size,scc_count,largest_scc_size,diameter,avg_shortest_path
NutriCompass_backup_20260207,FullGraph,68,74,0.01624231782265145,2.176470588235294,11,17,49,68,1,7,3.6020408163265305
NutriCompass_backup_20260208,FullGraph,92,97,0.011586239847109412,2.108695652173913,13,28,60,91,2,7,3.589265536723164
NutriCompass_backup_20260209,FullGraph,95,102,0.011422172452407614,2.1473684210526316,14,28,63,94,2,7,3.5862775217613927
NutriCompass_backup_20260210,FullGraph,107,115,0.010139305237171575,2.149532710280374,19,31,70,106,2,7,3.577639751552795
NutriCompass_backup_20260211,FullGraph,107,119,0.01049197672368189,2.2242990654205608,19,30,70,106,2,7,3.4977225672877847
NutriCompass_backup_20260212,FullGraph,126,131,0.008317460317460317,2.0793650793650795,19,33,87,125,2,11,4.338946805666934
NutriCompass_backup_20260213,FullGraph,136,214,0.011655773420479304,3.1470588235294117,76,22,113,135,2,5,2.513748419721871
NutriCompass_backup_20260214,FullGraph,140,220,0.011305241521068859,3.142857142857143,80,22,117,139,2,5,2.500589448865311
NutriCompass_backup_20260215,FullGraph,140,220,0.011305241521068859,3.142857142857143,79,21,117,138,3,5,2.518567639257294
NutriCompass_backup_20260216,FullGraph,140,220,0.011305241521068859,3.142857142857143,79,21,117,138,3,5,2.518567639257294
NutriCompass_backup_20260217,FullGraph,151,232,0.010242825607064018,3.0728476821192054,86,21,128,149,3,6,2.5586860236220472
NutriCompass_backup_20260218,FullGraph,155,249,0.010431503979891076,3.2129032258064516,91,21,132,153,3,6,2.524173027989822
