snapshot,distribution_shift,turnover,membership_shift,sensitivity
NutriCompass_backup_20260208,0.6887183859050867,1,0.29032258064516125,0.659680322183416
NutriCompass_backup_20260209,0.11480965213889655,0,0.03125,0.048686550712965515
NutriCompass_backup_20260210,0.23776724591890488,1,0.41025641025641024,0.5493412187251051
NutriCompass_backup_20260211,0.1948691548691547,1,0.0,0.39828971828971826
NutriCompass_backup_20260212,0.2224051782875312,1,0.31818181818181823,0.5135289988231165
NutriCompass_backup_20260213,0.10667740149952186,0,0.20833333333333337,0.10500357827761841
NutriCompass_backup_20260214,0.014019438867073051,0,0.0,0.00467314628902435
NutriCompass_backup_20260215,0.0957570176336166,1,0.06818181818181823,0.38797961193847835
NutriCompass_backup_20260216,0.041578372824760665,0,0.0,0.013859457608253556
NutriCompass_backup_20260217,0.14987276609435765,1,0.125,0.4249575886981192
NutriCompass_backup_20260218,0.1798654329524623,1,0.07843137254901966,0.41943226850049403
