snapshot,rank,type,severity,CC_T,WMT_T,LCOT_T,CBT_T,RFT_T
NutriCompass_backup_20260207,1,AppCompositionRoot,1.55,1.0,1.0,0.0,9.0,1.0
NutriCompass_backup_20260207,2,AppModel,1.35,2.0,2.0,0.0,6.0,3.0
NutriCompass_backup_20260207,3,HomeView,1.15,1.5,3.0,1.0,4.0,3.0
NutriCompass_backup_20260207,4,AnalysisController,0.95,1.0,1.0,0.0,5.0,2.0
NutriCompass_backup_20260207,5,DefaultInteractionAnalysisService,0.55,1.0,1.0,0.0,4.0,1.0
NutriCompass_backup_20260207,6,RootView,0.55,0.0,0.0,0.0,4.0,0.0
NutriCompass_backup_20260207,7,UIStringPolicyEnforcer,0.4,4.0,4.0,0.0,1.0,3.0
NutriCompass_backup_20260207,8,Evidence,0.35000000000000003,0.0,0.0,0.0,3.0,0.0
NutriCompass_backup_20260207,9,InMemoryUserLibraryRepository,0.35000000000000003,1.0,2.0,-1.0,2.0,2.0
NutriCompass_backup_20260207,10,Interaction,0.35000000000000003,0.0,0.0,0.0,3.0,0.0
NutriCompass_backup_20260207,11,InteractionTaxonomy,0.35000000000000003,7.0,14.0,0.0,2.0,2.0
NutriCompass_backup_20260207,12,RouteHostView,0.35000000000000003,0.0,0.0,0.0,3.0,0.0
NutriCompass_backup_20260207,13,SampleData,0.35000000000000003,0.0,0.0,0.0,3.0,0.0
NutriCompass_backup_20260207,14,UserSupplementLibraryStore,0.35000000000000003,1.0,2.0,0.0,2.0,2.0
NutriCompass_backup_20260207,15,AuditLogger,0.2,1.0,2.0,0.0,0.0,2.0
NutriCompass_backup_20260207,16,ComparisonEngine,0.2,1.0,2.0,0.0,0.0,2.0
NutriCompass_backup_20260207,17,InMemorySupplementRepository,0.2,1.5,3.0,-1.0,1.0,2.0
NutriCompass_backup_20260207,18,SecureStorage,0.2,1.0,2.0,0.0,1.0,2.0
NutriCompass_backup_20260207,19,AnalysisResultView,0.15000000000000002,0.0,0.0,0.0,2.0,0.0
NutriCompass_backup_20260207,20,InMemoryEvidenceRepository,0.15000000000000002,1.0,1.0,0.0,2.0,1.0
NutriCompass_backup_20260207,21,LiteratureRetrievalModule,0.15000000000000002,1.0,1.0,0.0,2.0,1.0
NutriCompass_backup_20260207,22,Supplement,0.15000000000000002,0.0,0.0,0.0,2.0,0.0
NutriCompass_backup_20260207,23,AnalysisResult,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,24,AppRoute,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,25,Citation,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,26,ConstraintRules,0.0,3.0,3.0,0.0,1.0,1.0
NutriCompass_backup_20260207,27,ContextFirewall,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,28,EvidenceClassificationModule,0.0,1.0,1.0,0.0,1.0,1.0
NutriCompass_backup_20260207,29,EvidenceLevel,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,30,EvidencePatternDetectionModule,0.0,1.0,1.0,0.0,0.0,1.0
NutriCompass_backup_20260207,31,EvidenceRepository,0.0,0.0,0.0,0.0,1.0,0.0
NutriCompass_backup_20260207,32,EvidenceSourceType,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,33,ImageOCRModule,0.0,1.0,1.0,0.0,1.0,1.0
NutriCompass_backup_20260207,34,Ingredient,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,35,IngredientExtractionModule,0.0,1.0,1.0,0.0,1.0,1.0
NutriCompass_backup_20260207,36,IngredientNormalizationModule,0.0,1.0,1.0,0.0,1.0,1.0
NutriCompass_backup_20260207,37,IngredientRef,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,38,InteractionAnalysisService,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,39,InteractionType,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,40,LanguagePolicyEngine,0.0,3.0,3.0,0.0,0.0,1.0
NutriCompass_backup_20260207,41,LibraryView,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,42,ModelVersionManager,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,43,NCError,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,44,NutriCompassApp,0.0,0.0,0.0,0.0,1.0,0.0
NutriCompass_backup_20260207,45,OnDeviceMLRuntime,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,46,OptionalCloudServices,0.0,0.0,0.0,0.0,0.0,0.0
NutriCompass_backup_20260207,47,OutputSchemaValidator,0.0,1.0,1.0,0.0,0.0,1.0
NutriCompass_backup_20260207,48,PermissionConsentManager,0.0,1.0,1.0,0.0,0.0,1.0
