snapshot,gamma,TD,target,m_i_types,k_i_clusters,baseline_types,proposed_types,coverage_baseline,coverage_proposed,prop_WCC,prop_LWCC,prop_density
MenuCal_backup_20251225,0.75,203.5999999999999,152.69999999999993,13,1,13,70,0.7622789783889983,0.9931237721021611,1,70,0.03561076604554866
MenuCal_backup_20251226,0.75,266.5999999999994,199.94999999999953,14,1,14,64,0.7614403600900241,0.8604651162790715,1,64,0.029513888888888888
MenuCal_backup_20251227,0.75,266.39999999999947,199.7999999999996,16,1,16,67,0.7575075075075088,0.86786786786787,1,67,0.02804161013116237
MenuCal_backup_20251228,0.75,272.29999999999984,204.22499999999988,17,1,17,82,0.7622107969151677,0.8729342636797657,1,82,0.02333634447455586
MenuCal_backup_20251229,0.75,307.3999999999996,230.54999999999967,18,1,18,70,0.7586206896551734,0.8666232921275224,1,70,0.02629399585921325
MenuCal_backup_20251230,0.75,319.19999999999965,239.39999999999975,19,1,19,73,0.7512531328320808,0.8659147869674196,1,73,0.025684931506849314
MenuCal_backup_20251231,0.75,342.7999999999997,257.0999999999998,20,1,20,79,0.7526254375729294,0.8768961493582271,1,79,0.024018175916910096
MenuCal_backup_20260101,0.75,367.9999999999997,275.9999999999998,23,1,23,90,0.7603260869565224,0.9114130434782614,1,90,0.02272159800249688
MenuCal_backup_20260102,0.75,397.99999999999955,298.49999999999966,24,1,24,95,0.7557788944723625,0.9165829145728651,1,95,0.02284434490481523
MenuCal_backup_20260103,0.75,456.9999999999993,342.7499999999995,26,1,26,101,0.7562363238512042,0.925601750547047,1,101,0.02118811881188119
MenuCal_backup_20260104,0.75,485.3999999999996,364.04999999999967,27,1,27,105,0.7507210548001653,0.9291306139266589,1,105,0.020787545787545787
MenuCal_backup_20260105,0.75,514.4000000000001,385.80000000000007,31,1,31,109,0.7558320373250387,0.923794712286158,1,109,0.01979272850832484
