snapshot,gamma,TD,target,m_i_types,k_i_clusters,baseline_types,proposed_types,coverage_baseline,coverage_proposed,prop_WCC,prop_LWCC,prop_density
NutriCompass_backup_20260207,0.75,10.349999999999998,7.762499999999998,11,1,11,18,0.7632850241545894,0.888888888888889,1,18,0.0784313725490196
NutriCompass_backup_20260208,0.75,38.250000000000014,28.68750000000001,7,2,7,23,0.7699346405228755,0.8470588235294116,2,22,0.05731225296442688
NutriCompass_backup_20260209,0.75,42.2,31.650000000000002,7,2,7,24,0.7582938388625592,0.8578199052132698,2,23,0.05615942028985507
NutriCompass_backup_20260210,0.75,45.00000000000003,33.75000000000002,5,2,5,21,0.7511111111111107,0.8577777777777771,2,20,0.06428571428571428
NutriCompass_backup_20260211,0.75,51.800000000000026,38.85000000000002,7,2,7,21,0.7876447876447873,0.8494208494208491,2,20,0.06428571428571428
NutriCompass_backup_20260212,0.75,63.46666666666671,47.60000000000004,9,3,9,29,0.7542016806722683,0.8455882352941169,3,27,0.050492610837438424
NutriCompass_backup_20260213,0.75,66.80000000000004,50.10000000000003,8,3,8,25,0.7544910179640713,0.8413173652694605,3,23,0.05333333333333334
NutriCompass_backup_20260214,0.75,67.40000000000005,50.55000000000004,8,3,8,25,0.756676557863501,0.8427299703264088,3,23,0.05333333333333334
NutriCompass_backup_20260215,0.75,69.60000000000008,52.20000000000006,9,3,9,25,0.755747126436781,0.8132183908045968,3,23,0.05333333333333334
NutriCompass_backup_20260216,0.75,71.60000000000007,53.700000000000045,9,3,9,25,0.7625698324022342,0.8184357541899434,3,23,0.05333333333333334
NutriCompass_backup_20260217,0.75,76.40000000000006,57.30000000000005,11,3,11,29,0.7617801047120412,0.8010471204188477,3,25,0.04926108374384237
NutriCompass_backup_20260218,0.75,95.40000000000006,71.55000000000004,11,3,11,32,0.7568134171907753,0.7798742138364778,3,30,0.04435483870967742
