snapshot,graph,nodes,edges,density,avg_degree,max_degree,wcc_count,largest_wcc_size,scc_count,largest_scc_size,diameter,avg_shortest_path
MenuCal_backup_20251225,FullGraph,197,491,0.012716254014296074,4.9847715736040605,119,20,178,191,3,7,2.5175522122770264
MenuCal_backup_20251225,DebtSubgraph,74,175,0.032395409107737874,4.72972972972973,55,5,70,68,3,5,2.3631469979296065
MenuCal_backup_20251225,TopCluster,70,172,0.03561076604554866,4.914285714285715,55,1,70,64,3,5,2.3631469979296065
MenuCal_backup_20251226,FullGraph,213,546,0.012091416423066702,5.126760563380282,128,15,199,209,3,7,2.6309831988223946
MenuCal_backup_20251226,DebtSubgraph,86,138,0.018878248974008208,3.2093023255813953,19,22,64,82,3,8,3.6165674603174605
MenuCal_backup_20251226,TopCluster,64,119,0.029513888888888888,3.71875,19,1,64,60,3,8,3.6165674603174605
MenuCal_backup_20251227,FullGraph,276,726,0.009565217391304347,5.260869565217392,164,19,258,273,2,7,2.618375410973366
MenuCal_backup_20251227,DebtSubgraph,91,143,0.01746031746031746,3.142857142857143,22,25,67,88,2,6,3.2103120759837176
MenuCal_backup_20251227,TopCluster,67,124,0.02804161013116237,3.701492537313433,22,1,67,64,2,6,3.2103120759837176
MenuCal_backup_20251228,FullGraph,278,728,0.00945380879411994,5.237410071942446,165,19,260,275,2,7,2.6233145233145234
MenuCal_backup_20251228,DebtSubgraph,107,176,0.015517545406453889,3.289719626168224,26,25,82,104,2,6,3.2493224932249323
MenuCal_backup_20251228,TopCluster,82,155,0.02333634447455586,3.7804878048780486,26,1,82,79,2,6,3.2493224932249323
MenuCal_backup_20251229,FullGraph,295,772,0.008901187593681541,5.233898305084746,174,20,276,292,2,7,2.625032938076416
MenuCal_backup_20251229,DebtSubgraph,96,147,0.01611842105263158,3.0625,22,27,70,93,2,6,3.303933747412008
MenuCal_backup_20251229,TopCluster,70,127,0.02629399585921325,3.6285714285714286,22,1,70,67,2,6,3.303933747412008
MenuCal_backup_20251230,FullGraph,304,818,0.008880493312489144,5.381578947368421,178,20,285,301,2,7,2.639510748702743
MenuCal_backup_20251230,DebtSubgraph,101,157,0.015544554455445544,3.108910891089109,23,29,73,98,2,6,3.282724505327245
MenuCal_backup_20251230,TopCluster,73,135,0.025684931506849314,3.6986301369863015,23,1,73,70,2,6,3.282724505327245
MenuCal_backup_20251231,FullGraph,319,872,0.008596045030657912,5.467084639498433,186,23,296,316,2,7,2.623270728355474
MenuCal_backup_20251231,DebtSubgraph,109,170,0.014441046551138294,3.1192660550458715,23,30,79,106,2,6,3.3602726387536515
MenuCal_backup_20251231,TopCluster,79,148,0.024018175916910096,3.7468354430379747,23,1,79,76,2,6,3.3602726387536515
MenuCal_backup_20260101,FullGraph,333,892,0.00806830927312855,5.357357357357357,190,23,310,331,2,7,2.693433552562898
MenuCal_backup_20260101,DebtSubgraph,115,200,0.015255530129672006,3.4782608695652173,25,25,90,113,2,8,3.2888888888888888
MenuCal_backup_20260101,TopCluster,90,182,0.02272159800249688,4.044444444444444,25,1,90,88,2,8,3.2888888888888888
MenuCal_backup_20260102,FullGraph,348,940,0.007784292291894398,5.402298850574713,199,24,324,345,2,7,2.6884722699996177
MenuCal_backup_20260102,DebtSubgraph,121,223,0.015358126721763085,3.6859504132231407,26,26,95,118,2,7,3.1825307950727884
MenuCal_backup_20260102,TopCluster,95,204,0.02284434490481523,4.294736842105263,26,1,95,92,2,7,3.1825307950727884
MenuCal_backup_20260103,FullGraph,365,991,0.007458979376787596,5.4301369863013695,211,26,338,362,2,7,2.6722736291327935
MenuCal_backup_20260103,DebtSubgraph,129,235,0.014232073643410852,3.643410852713178,28,27,101,126,2,6,3.2275247524752477
MenuCal_backup_20260103,TopCluster,101,214,0.02118811881188119,4.237623762376238,28,1,101,98,2,6,3.2275247524752477
MenuCal_backup_20260104,FullGraph,382,1078,0.007406796663506067,5.643979057591623,221,27,354,379,2,6,2.641282950016805
MenuCal_backup_20260104,DebtSubgraph,134,249,0.013971495903938952,3.716417910447761,30,28,105,131,2,6,3.17014652014652
MenuCal_backup_20260104,TopCluster,105,227,0.020787545787545787,4.3238095238095235,30,1,105,102,2,6,3.17014652014652
MenuCal_backup_20260105,FullGraph,420,1151,0.006540515967723605,5.480952380952381,234,32,387,417,2,7,2.7048506513502297
MenuCal_backup_20260105,DebtSubgraph,140,257,0.013206577595066804,3.6714285714285713,33,30,109,137,2,6,3.170574243968739
MenuCal_backup_20260105,TopCluster,109,233,0.01979272850832484,4.275229357798165,33,1,109,106,2,6,3.170574243968739
