snapshot,graph,nodes,edges,density,avg_degree,max_degree,wcc_count,largest_wcc_size,scc_count,largest_scc_size,diameter,avg_shortest_path
NutriCompass_backup_20260207,FullGraph,68,74,0.01624231782265145,2.176470588235294,11,17,49,68,1,7,3.6020408163265305
NutriCompass_backup_20260207,DebtSubgraph,25,27,0.045,2.16,7,5,18,25,1,6,2.718954248366013
NutriCompass_backup_20260207,TopCluster,18,24,0.0784313725490196,2.6666666666666665,7,1,18,18,1,6,2.718954248366013
NutriCompass_backup_20260208,FullGraph,92,97,0.011586239847109412,2.108695652173913,13,28,60,91,2,7,3.589265536723164
NutriCompass_backup_20260208,DebtSubgraph,36,36,0.02857142857142857,2.0,8,10,22,35,2,6,2.9047619047619047
NutriCompass_backup_20260208,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260209,FullGraph,95,102,0.011422172452407614,2.1473684210526316,14,28,63,94,2,7,3.5862775217613927
NutriCompass_backup_20260209,DebtSubgraph,37,38,0.028528528528528527,2.054054054054054,8,10,23,36,2,6,2.8616600790513833
NutriCompass_backup_20260209,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260210,FullGraph,107,115,0.010139305237171575,2.149532710280374,19,31,70,106,2,7,3.577639751552795
NutriCompass_backup_20260210,DebtSubgraph,37,38,0.028528528528528527,2.054054054054054,10,11,20,36,2,5,2.5894736842105264
NutriCompass_backup_20260210,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260211,FullGraph,107,119,0.01049197672368189,2.2242990654205608,19,30,70,106,2,7,3.4977225672877847
NutriCompass_backup_20260211,DebtSubgraph,38,39,0.027738264580369845,2.0526315789473686,10,11,20,37,2,5,2.5894736842105264
NutriCompass_backup_20260211,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260212,FullGraph,126,131,0.008317460317460317,2.0793650793650795,19,33,87,125,2,11,4.338946805666934
NutriCompass_backup_20260212,DebtSubgraph,52,53,0.01998491704374057,2.0384615384615383,12,17,27,51,2,5,2.769230769230769
NutriCompass_backup_20260212,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260213,FullGraph,136,214,0.011655773420479304,3.1470588235294117,76,22,113,135,2,5,2.513748419721871
NutriCompass_backup_20260213,DebtSubgraph,44,40,0.021141649048625793,1.8181818181818181,10,19,23,43,2,5,2.7114624505928853
NutriCompass_backup_20260213,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260214,FullGraph,140,220,0.011305241521068859,3.142857142857143,80,22,117,139,2,5,2.500589448865311
NutriCompass_backup_20260214,DebtSubgraph,44,40,0.021141649048625793,1.8181818181818181,10,19,23,43,2,5,2.7114624505928853
NutriCompass_backup_20260214,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260215,FullGraph,140,220,0.011305241521068859,3.142857142857143,79,21,117,138,3,5,2.518567639257294
NutriCompass_backup_20260215,DebtSubgraph,45,43,0.021717171717171718,1.9111111111111112,10,19,23,43,3,5,2.7114624505928853
NutriCompass_backup_20260215,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260216,FullGraph,140,220,0.011305241521068859,3.142857142857143,79,21,117,138,3,5,2.518567639257294
NutriCompass_backup_20260216,DebtSubgraph,45,43,0.021717171717171718,1.9111111111111112,10,19,23,43,3,5,2.7114624505928853
NutriCompass_backup_20260216,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260217,FullGraph,151,232,0.010242825607064018,3.0728476821192054,86,21,128,149,3,6,2.5586860236220472
NutriCompass_backup_20260217,DebtSubgraph,49,46,0.0195578231292517,1.8775510204081634,10,21,25,47,3,6,2.8
NutriCompass_backup_20260217,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
NutriCompass_backup_20260218,FullGraph,155,249,0.010431503979891076,3.2129032258064516,91,21,132,153,3,6,2.524173027989822
NutriCompass_backup_20260218,DebtSubgraph,53,55,0.01995645863570392,2.0754716981132075,13,20,30,51,3,6,2.8229885057471265
NutriCompass_backup_20260218,TopCluster,1,1,0.0,2.0,2,1,1,1,1,0,0
